2022-03-31 17:55:53,890 [main] INFO  -[AbstractTestContextBootstrapper.java:305]- Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.pharaoh.deepfake.common.util.InitAdversarialDetectionDatabaseTest], using SpringBootContextLoader
2022-03-31 17:55:53,895 [main] INFO  -[AbstractContextLoader.java:264]- Could not detect default resource locations for test class [com.pharaoh.deepfake.common.util.InitAdversarialDetectionDatabaseTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-03-31 17:55:53,895 [main] INFO  -[AnnotationConfigContextLoaderUtils.java:83]- Could not detect default configuration classes for test class [com.pharaoh.deepfake.common.util.InitAdversarialDetectionDatabaseTest]: InitAdversarialDetectionDatabaseTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-03-31 17:55:53,979 [main] INFO  -[SpringBootTestContextBootstrapper.java:238]- Found @SpringBootConfiguration com.pharaoh.deepfake.DeepfakeApplication for test class com.pharaoh.deepfake.common.util.InitAdversarialDetectionDatabaseTest
2022-03-31 17:55:54,042 [main] INFO  -[AbstractTestContextBootstrapper.java:245]- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-03-31 17:55:54,058 [main] INFO  -[AbstractTestContextBootstrapper.java:174]- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7357a011, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3406472c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5717c37, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@68f4865, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4816278d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4eaf3684, org.springframework.test.context.transaction.TransactionalTestExecutionListener@40317ba2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3c01cfa1, org.springframework.test.context.event.EventPublishingTestExecutionListener@45d2ade3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@727eb8cb, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@39d9314d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@b978d10, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5b7a8434, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5c45d770, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2ce6c6ec]
2022-03-31 17:55:54,334 [main] INFO  -[StartupInfoLogger.java:55]- Starting InitAdversarialDetectionDatabaseTest using Java 1.8.0_261 on LZD-20210917XHH with PID 16568 (started by Administrator in D:\workplace\deep-fake-p-backend)
2022-03-31 17:55:54,336 [main] INFO  -[SpringApplication.java:659]- No active profile set, falling back to default profiles: default
2022-03-31 17:55:55,385 [main] INFO  -[RepositoryConfigurationDelegate.java:262]- Multiple Spring Data modules found, entering strict repository configuration mode!
2022-03-31 17:55:55,388 [main] INFO  -[RepositoryConfigurationDelegate.java:132]- Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-03-31 17:55:55,605 [main] INFO  -[RepositoryConfigurationDelegate.java:201]- Finished Spring Data repository scanning in 204 ms. Found 14 JPA repository interfaces.
2022-03-31 17:55:55,618 [main] INFO  -[RepositoryConfigurationDelegate.java:262]- Multiple Spring Data modules found, entering strict repository configuration mode!
2022-03-31 17:55:55,619 [main] INFO  -[RepositoryConfigurationDelegate.java:132]- Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-03-31 17:55:55,640 [main] INFO  -[RepositoryConfigurationExtensionSupport.java:349]- Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.pharaoh.deepfake.repository.AdversarialDetectionRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
2022-03-31 17:55:55,641 [main] INFO  -[RepositoryConfigurationExtensionSupport.java:349]- Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.pharaoh.deepfake.repository.DeepfakeDetectionRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
